startup_name,city,sector,round,amount_cr_inr,announced_date,lead_investor
Nimbuslabs89,Delhi NCR,SaaS,Series B,129.1,2023-10-23,Peak XV
Finworks,Pune,Healthtech,Seed,17.9,2023-07-22,Kalaari Capital
Nimbusfyi,Bangalore,Fintech,Seed,5.3,2023-11-11,Peak XV
Finworks39,Mumbai,SaaS,Series C,800.4,2024-05-20,Titan Capital
Chaikart30,Hyderabad,Healthtech,Series C,1160.6,2024-11-19,Peak XV
Shoplabs,Delhi NCR,Ecommerce,Seed,17.7,2023-10-12,Blume Ventures
Finworks53,Mumbai,AI/ML,Series A,39.4,2023-06-14,Matrix Partners
Metrogrid52,Hyderabad,Fintech,Pre-Seed,3.3,2023-11-19,Peak XV
Chaiworks,Delhi NCR,Fintech,Series A,89.2,2024-07-09,Titan Capital
Metrolabs47,Gurugram,Ecommerce,Series B,295.1,2023-02-22,Elevation Capital
Fingrid81,Bangalore,AI/ML,Series B,164.3,2024-07-18,Sequoia India
Dataflow15,Bangalore,AI/ML,Series A,104.9,2024-05-25,Peak XV
Datakart62,Bangalore,Ecommerce,Series A,79.6,2024-01-28,Elevation Capital
Kraftflow65,Bangalore,SaaS,Seed,19.2,2024-08-24,Titan Capital
Dataflow42,Chennai,SaaS,Seed,16.0,2023-08-28,Kalaari Capital
Zetadesk,Mumbai,Edtech,Series C,1190.7,2024-10-29,Blume Ventures
Finlabs76,Bangalore,Ecommerce,Series A,39.0,2024-04-12,Sequoia India
Nimbusflow,Bangalore,Ecommerce,Seed,20.4,2023-09-29,Matrix Partners
Paygrid,Pune,Fintech,Seed,8.9,2024-12-01,Peak XV
Vertexaworks13,Pune,AI/ML,Pre-Seed,5.4,2024-03-30,Blume Ventures
Kraftlabs8,Mumbai,Edtech,Seed,13.0,2023-09-08,Kalaari Capital
Shopai11,Mumbai,Healthtech,Series B,311.3,2024-05-24,Blume Ventures
Vertexagrid,Mumbai,AI/ML,Series A,30.8,2024-04-21,Peak XV
Payai45,Mumbai,AI/ML,Series B,389.4,2024-12-07,Peak XV
Finkart50,Bangalore,SaaS,Series A,64.3,2024-01-03,Peak XV
Payflow73,Gurugram,Logistics,Series C,1178.9,2024-09-12,Titan Capital
Kraftfyi,Bangalore,AI/ML,Series A,47.1,2023-09-14,Blume Ventures
Payworks,Bangalore,SaaS,Series B,340.8,2023-02-04,Matrix Partners
Nimbusworks,Gurugram,Edtech,Series A,45.8,2023-05-16,Matrix Partners
Kraftgrid,Gurugram,Edtech,Seed,20.9,2024-04-24,Accel
Datadesk51,Mumbai,Ecommerce,Seed,6.6,2024-01-13,Peak XV
Finlabs,Mumbai,Healthtech,Series B,182.0,2023-03-06,Titan Capital
Kraftflow6,Mumbai,Ecommerce,Seed,6.4,2023-08-29,Blume Ventures
Metrogrid96,Hyderabad,Edtech,Series C,869.9,2023-06-08,Kalaari Capital
Vertexagrid31,Bangalore,AI/ML,Series A,63.1,2024-10-22,Matrix Partners
Zetaflow16,Bangalore,AI/ML,Series A,49.1,2024-10-16,Sequoia India
Zetadesk17,Bangalore,Fintech,Series B,352.3,2024-07-21,Elevation Capital
Shopfyi,Mumbai,Logistics,Seed,7.1,2024-09-02,Sequoia India
Nimbuslabs46,Hyderabad,Edtech,Seed,4.3,2023-09-29,Sequoia India
Zetagrid47,Hyderabad,Fintech,Series A,70.7,2023-08-15,Sequoia India
Paykart4,Delhi NCR,Edtech,Seed,13.0,2023-04-21,Titan Capital
Chaiai36,Pune,Healthtech,Series B,273.5,2023-11-29,Kalaari Capital
Shopkart78,Bangalore,AI/ML,Series A,40.3,2024-11-01,Elevation Capital
Metrogrid,Mumbai,Ecommerce,Series A,65.9,2023-04-08,Matrix Partners
Chaiai,Bangalore,Fintech,Series A,104.9,2023-04-06,Kalaari Capital
Shopkart74,Bangalore,Fintech,Series A,89.1,2023-08-18,Accel
Chaidesk36,Bangalore,Edtech,Series B,356.6,2024-09-28,Sequoia India
Shopkart35,Gurugram,SaaS,Series C,1137.2,2023-12-26,Sequoia India
Metroworks82,Bangalore,Logistics,Seed,15.1,2024-01-21,Kalaari Capital
Findesk40,Mumbai,Logistics,Series C,1153.1,2024-09-02,Accel
Zetaai80,Chennai,Fintech,Seed,9.7,2024-11-08,Kalaari Capital
Fingrid28,Delhi NCR,Fintech,Pre-Seed,2.7,2023-04-24,Peak XV
Kraftlabs77,Bangalore,SaaS,Seed,10.3,2023-08-05,Blume Ventures
Kraftkart1,Gurugram,Ecommerce,Series A,45.8,2024-01-25,Elevation Capital
Datadesk95,Delhi NCR,Fintech,Seed,13.7,2023-03-21,Matrix Partners
Payflow52,Mumbai,Fintech,Seed,20.8,2024-09-24,Titan Capital
Chaiworks14,Delhi NCR,Healthtech,Seed,12.4,2023-03-22,Kalaari Capital
Kraftdesk22,Delhi NCR,AI/ML,Seed,6.4,2024-06-06,Elevation Capital
Payai19,Bangalore,SaaS,Seed,16.7,2024-11-02,Accel
Nimbusgrid73,Hyderabad,Ecommerce,Pre-Seed,4.4,2024-08-01,Matrix Partners
Paydesk9,Delhi NCR,Healthtech,Series A,57.3,2023-10-09,Sequoia India
Chaiworks58,Bangalore,Edtech,Seed,21.5,2023-03-20,Accel
Shopflow71,Bangalore,Ecommerce,Series C,1127.2,2024-08-08,Elevation Capital
Chaigrid,Delhi NCR,Fintech,Seed,21.0,2023-12-18,Accel
Dataai91,Delhi NCR,Ecommerce,Series A,77.0,2023-06-12,Matrix Partners
Chaikart44,Hyderabad,Fintech,Series C,1031.4,2024-10-24,Matrix Partners
Zetadesk87,Mumbai,SaaS,Series A,95.1,2024-11-03,Blume Ventures
Nimbusdesk84,Pune,Edtech,Series C,503.2,2024-12-26,Accel
Metrodesk40,Bangalore,Edtech,Seed,23.9,2024-05-12,Elevation Capital
Vertexaai38,Delhi NCR,Logistics,Seed,15.3,2024-06-23,Sequoia India
Zetaflow93,Delhi NCR,Healthtech,Seed,10.0,2024-04-04,Elevation Capital
Datafyi61,Mumbai,AI/ML,Seed,23.9,2024-03-27,Titan Capital
Metroai,Bangalore,SaaS,Series B,134.6,2024-05-07,Matrix Partners
Dataworks,Bangalore,SaaS,Series A,37.5,2023-06-14,Peak XV
Chailabs51,Mumbai,SaaS,Series A,64.8,2023-03-25,Matrix Partners
Vertexalabs13,Pune,Edtech,Series C,1033.1,2023-05-21,Sequoia India
Nimbusgrid1,Bangalore,SaaS,Seed,8.5,2023-06-03,Kalaari Capital
Nimbuskart16,Bangalore,Edtech,Seed,17.4,2024-09-29,Titan Capital
Zetaworks,Hyderabad,Ecommerce,Series A,31.5,2024-06-11,Elevation Capital
Nimbuskart79,Bangalore,Healthtech,Series A,67.5,2024-11-11,Accel
Datadesk68,Delhi NCR,Ecommerce,Series B,275.2,2024-02-04,Titan Capital
Kraftlabs9,Bangalore,Logistics,Series A,89.1,2023-04-17,Matrix Partners
Nimbuslabs44,Bangalore,Logistics,Series B,311.7,2024-12-13,Titan Capital
Payai,Chennai,Logistics,Seed,23.8,2023-02-07,Peak XV
Vertexalabs,Mumbai,SaaS,Seed,14.8,2024-07-10,Titan Capital
Vertexakart7,Mumbai,SaaS,Series B,154.9,2024-01-12,Kalaari Capital
Fingrid67,Bangalore,Logistics,Seed,12.9,2024-03-16,Blume Ventures
Datakart11,Pune,SaaS,Series A,57.6,2024-09-09,Kalaari Capital
Nimbusgrid6,Mumbai,Healthtech,Series C,1198.5,2023-10-09,Sequoia India
Zetaflow96,Bangalore,Fintech,Series C,514.2,2024-09-14,Titan Capital
Zetaai83,Mumbai,Edtech,Series A,115.5,2023-02-03,Blume Ventures
Vertexaworks24,Delhi NCR,Edtech,Series A,112.2,2023-05-01,Peak XV
Kraftgrid79,Chennai,Ecommerce,Seed,8.2,2023-05-19,Accel
Datafyi26,Bangalore,Ecommerce,Seed,4.6,2024-07-21,Matrix Partners
Zetaworks92,Delhi NCR,Ecommerce,Series C,728.6,2024-02-24,Accel
Fingrid,Bangalore,Logistics,Series A,79.6,2024-08-24,Blume Ventures
Kraftai91,Mumbai,Ecommerce,Seed,22.8,2023-03-22,Peak XV
Vertexakart39,Hyderabad,Fintech,Series B,260.7,2023-06-22,Blume Ventures
Zetaworks83,Hyderabad,SaaS,Pre-Seed,4.3,2024-08-08,Kalaari Capital
Shoplabs81,Mumbai,AI/ML,Series B,387.9,2024-05-09,Elevation Capital
Payflow10,Bangalore,Fintech,Series C,751.7,2024-05-10,Titan Capital
Vertexadesk,Chennai,Edtech,Series A,96.1,2023-12-20,Kalaari Capital
Nimbusdesk16,Delhi NCR,SaaS,Seed,7.0,2023-02-21,Peak XV
Metroflow21,Hyderabad,Logistics,Series A,58.1,2023-06-13,Titan Capital
Datagrid40,Bangalore,Fintech,Series A,115.1,2024-06-01,Titan Capital
Vertexafyi,Bangalore,SaaS,Seed,14.4,2024-10-31,Titan Capital
Chaiflow52,Hyderabad,Healthtech,Seed,8.1,2024-07-20,Peak XV
Shopworks13,Mumbai,Edtech,Series A,80.2,2024-01-10,Blume Ventures
Vertexaflow,Bangalore,Fintech,Seed,19.0,2024-04-30,Titan Capital
Nimbusai79,Bangalore,Edtech,Series A,119.2,2023-11-03,Matrix Partners
Datagrid,Delhi NCR,Fintech,Seed,11.7,2024-11-20,Accel
Metrokart,Chennai,Healthtech,Series C,421.3,2024-04-30,Peak XV
Shopgrid81,Pune,Logistics,Series C,1072.9,2023-06-01,Elevation Capital
Zetaworks57,Delhi NCR,Fintech,Series A,67.2,2023-07-28,Kalaari Capital
Zetaai,Mumbai,AI/ML,Series B,253.9,2024-01-21,Matrix Partners
Vertexafyi39,Mumbai,Logistics,Seed,10.1,2023-08-01,Titan Capital
Chaigrid93,Mumbai,Fintech,Seed,16.0,2024-07-10,Kalaari Capital
Nimbuskart92,Mumbai,Ecommerce,Seed,17.8,2024-05-05,Elevation Capital
Vertexakart,Mumbai,Fintech,Series C,487.4,2024-08-23,Elevation Capital
Nimbuslabs,Delhi NCR,AI/ML,Seed,23.6,2024-05-02,Titan Capital
Kraftdesk8,Bangalore,AI/ML,Pre-Seed,3.9,2024-07-01,Sequoia India
Kraftlabs73,Bangalore,Edtech,Series B,199.7,2024-10-18,Titan Capital
Nimbusgrid15,Bangalore,Logistics,Series A,71.3,2023-09-21,Blume Ventures
Shopfyi82,Delhi NCR,Ecommerce,Series A,59.5,2024-02-15,Accel
Nimbusai32,Mumbai,Edtech,Seed,8.9,2023-10-01,Matrix Partners
Kraftlabs47,Bangalore,Fintech,Series C,934.2,2024-04-21,Peak XV
Kraftdesk,Bangalore,Ecommerce,Seed,7.2,2024-09-12,Matrix Partners
Datadesk73,Bangalore,Healthtech,Seed,23.0,2023-07-27,Blume Ventures
Shopgrid66,Bangalore,Ecommerce,Series A,41.9,2024-03-01,Titan Capital
Vertexaworks45,Bangalore,Healthtech,Series C,1195.3,2023-03-12,Titan Capital
Zetakart99,Gurugram,AI/ML,Seed,24.5,2024-10-23,Kalaari Capital
Chaiflow49,Bangalore,AI/ML,Series A,116.8,2024-07-06,Blume Ventures
